"","year","county_name","county_fips","office","candidate","party","candidatevotes","totalvotes","candidateproportions","popsizes"
"114",2020,"DONA ANA","35013","PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",47957,82641,0.5803051753972,221262
"115",2020,"DONA ANA","35013","PRESIDENT","DONALD J TRUMP","REPUBLICAN",32802,82641,0.396921624859331,221262
"116",2020,"EDDY","35015","PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",5424,23222,0.233571613125484,58418
"117",2020,"EDDY","35015","PRESIDENT","DONALD J TRUMP","REPUBLICAN",17454,23222,0.751614847988976,58418
"118",2020,"GRANT","35017","PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",7590,14435,0.525805334257014,27007
"119",2020,"GRANT","35017","PRESIDENT","DONALD J TRUMP","REPUBLICAN",6553,14435,0.453966054728091,27007
"120",2020,"GUADALUPE","35019","PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",1234,2189,0.563727729556875,4275
"121",2020,"GUADALUPE","35019","PRESIDENT","DONALD J TRUMP","REPUBLICAN",917,2189,0.418912745545911,4275
"122",2020,"HARDING","35021","PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",179,505,0.354455445544554,638
"123",2020,"HARDING","35021","PRESIDENT","DONALD J TRUMP","REPUBLICAN",319,505,0.631683168316832,638
"124",2020,"HIDALGO","35023","PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",823,1974,0.416919959473151,4106
"125",2020,"HIDALGO","35023","PRESIDENT","DONALD J TRUMP","REPUBLICAN",1120,1974,0.567375886524823,4106
"126",2020,"LEA","35025","PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",4061,20918,0.194139019026676,71830
"127",2020,"LEA","35025","PRESIDENT","DONALD J TRUMP","REPUBLICAN",16531,20918,0.790276317047519,71830
"128",2020,"LINCOLN","35027","PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",3194,10306,0.309916553464002,19939
"129",2020,"LINCOLN","35027","PRESIDENT","DONALD J TRUMP","REPUBLICAN",6942,10306,0.673588201047933,19939
"130",2020,"LOS ALAMOS","35028","PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",7554,12293,0.614496054665257,19462
"131",2020,"LOS ALAMOS","35028","PRESIDENT","DONALD J TRUMP","REPUBLICAN",4278,12293,0.348002928495892,19462
"132",2020,"LUNA","35029","PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",3563,8103,0.439713686289029,23905
